idCode,hxcf,hxcfen,ypmc,ypmcen,slh,jx,gytj,gg,cbzj,pzwh,scpzrq,ssxkzcyr,sccs,ssxszt,sllb,jpxzl,smsContent,smsAttname,source_url,cid,cas
2ebabb69f34fb5966e10fa514db78fb7,甲磺酸雷沙吉兰,Rasagiline Mesylate,甲磺酸雷沙吉兰片,Rasagiline Mesylate Tablets,CYHS2200628,片剂,口服,1mg(以C12H13N计）,否,国药准字H20243700,2024-05-15,山东华铂凯盛生物科技有限公司,安徽泰恩康制药有限公司,新批准暂未销售,按化学药品新注册分类批准的仿制药,,,,https://www.cde.org.cn/hymlj/detailPage/2ebabb69f34fb5966e10fa514db78fb7,3052775,161735-79-1
77e8e71132eefe4e28ebd5f2d53f00dd,甲钴胺,Mecobalamin,甲钴胺片,Mecobalamin Tablets,CYHS2201586,片剂,口服,0.5mg,否,国药准字H20243796,2024-05-21,浙江京新药业股份有限公司,浙江京新药业股份有限公司,新批准暂未销售,按化学药品新注册分类批准的仿制药,,,,https://www.cde.org.cn/hymlj/detailPage/77e8e71132eefe4e28ebd5f2d53f00dd,6436232,13422-55-4
08ce3499b9dbfbc95e520d04761ad761,氨甲环酸,,氨甲环酸注射液,Tranexamic Acid Injection,CYHS2201532,注射剂,静脉注射,10ml：1.0g,否,国药准字H20243925,2024-06-04,烟台鲁银药业有限公司,烟台鲁银药业有限公司,新批准暂未销售,按化学药品新注册分类批准的仿制药,,,,https://www.cde.org.cn/hymlj/detailPage/08ce3499b9dbfbc95e520d04761ad761,445063,131-48-6
428833b9424344845da48b8dfd3eff07,本品采用双室袋包装，小室液为含无水葡萄糖、乳酸钠、氯化钙、氯化镁和氯化钠的灭菌水溶液，大室液为含氯化钠和碳酸氢钠的灭菌水溶液，组份详见说明书。,,低钙腹膜透析液（碳酸氢盐-G2.5%）,Low Calcium Peritoneal Dialysis Solution（Bicarbonate-G2.5%）,CYHS2201642,注射剂,腹腔内给药,2000ml（小室液725ml/大室液1275ml，葡萄糖2.5%）,否,国药准字H20243870,2024-06-04,芜湖道润药业有限责任公司,芜湖道润药业有限责任公司,新批准暂未销售,按化学药品新注册分类批准的仿制药,,,,https://www.cde.org.cn/hymlj/detailPage/428833b9424344845da48b8dfd3eff07,445063,131-48-6
be7732a13d133e57515c6d7bf08f18ef,盐酸乌拉地尔,Urapidil Hydrochloride,盐酸乌拉地尔注射液,Urapidil Hydrochloride Injection,CYHS2202064,注射剂,注射,5ml:25mg（按乌拉地尔计）,否,国药准字H20243892,2024-06-04,湖南科伦制药有限公司,四川科伦药业股份有限公司,新批准暂未销售,按化学药品新注册分类批准的仿制药,C02CA06,,,https://www.cde.org.cn/hymlj/detailPage/be7732a13d133e57515c6d7bf08f18ef,167980,64887-14-5
25535a012b125d149b53f79c56f7671c,钆特酸葡胺,,钆特酸葡胺注射液,Gadoteric Acid Meglumine Salt Injection,CYHS2300484,注射剂,静脉注射,5ml：1.8845g（以钆特酸葡胺计）,否,国药准字H20244097,2024-06-18,海南普利制药股份有限公司,海南普利制药股份有限公司,新批准暂未销售,按化学药品新注册分类批准的仿制药,,,,https://www.cde.org.cn/hymlj/detailPage/25535a012b125d149b53f79c56f7671c,445063,131-48-6
f7b9877619afa20db97d4aad0c88e2a7,棕榈酸帕利哌酮,Paliperidone Palmitate,棕榈酸帕利哌酮注射液,Paliperidone Palmitate Injection,CYHS2202110,注射剂,肌肉注射,1.5ml:150mg（按C23H27FN4O3计）,否,国药准字H20243897,2024-06-04,绿叶嘉奥制药石家庄有限公司,山东绿叶制药有限公司,新批准暂未销售,按化学药品新注册分类批准的仿制药,,,,https://www.cde.org.cn/hymlj/detailPage/f7b9877619afa20db97d4aad0c88e2a7,9852746,199739-10-1
61e5f0e9a62a1349b7b9ad985d80a8be,尼可地尔,Nicorandil,注射用尼可地尔,Nicorandil for Injection,CYHS2201939,注射剂,注射,12mg,否,国药准字H20244125,2024-06-25,科贝园（北京）医药科技有限公司,山西普德药业有限公司,新批准暂未销售,按化学药品新注册分类批准的仿制药,C01DX16,,,https://www.cde.org.cn/hymlj/detailPage/61e5f0e9a62a1349b7b9ad985d80a8be,47528,65141-46-0
e0a56d7ade4e30d69ac3d87d5b2673d5,阿奇霉素二水合物,Azithromycin,阿奇霉素片,Azithromycin Tablets,CYHS2300042,片剂,口服,0.5g（以C38H72N2O12计）,否,国药准字H20243862,2024-05-28,山西同达药业有限公司,山西同达药业有限公司,新批准暂未销售,按化学药品新注册分类批准的仿制药,,,,https://www.cde.org.cn/hymlj/detailPage/e0a56d7ade4e30d69ac3d87d5b2673d5,447043,83905-01-5
bf70c481f665075bbfb08f25a35047dc,艾司奥美拉唑镁,,艾司奥美拉唑镁肠溶胶囊,Esomeprazole Magnesium Enteric-coated Capsules,CYHS2201868,胶囊剂,口服,40mg（按C17H19N3O3S计）,否,国药准字H20244325,2024-06-24,乐普药业股份有限公司,乐普药业股份有限公司,新批准暂未销售,按化学药品新注册分类批准的仿制药,,,,https://www.cde.org.cn/hymlj/detailPage/bf70c481f665075bbfb08f25a35047dc,445063,131-48-6
77e8d35a9871fd41ae2be2804ade8d4b,氯化铁、碘化钾、氯化铜、氯化铬、氯化锰、氟化钠、钼酸钠、亚硒酸钠、氯化锌,,多种微量元素注射液（Ⅲ）,Multi-Trace Elements Injection（Ⅲ）,CYHS2201908,注射剂,注射,10ml,否,国药准字H20244374,2024-07-09,洋浦京泰药业有限公司,内蒙古白医制药股份有限公司,新批准暂未销售,按化学药品新注册分类批准的仿制药,,,,https://www.cde.org.cn/hymlj/detailPage/77e8d35a9871fd41ae2be2804ade8d4b,445063,131-48-6
17b030e65ffdb07d204eba2cbb695b0a,氯化钾,,氯化钾颗粒,Potassium Chloride Granules,CYHS2300403,颗粒剂,口服,每袋含氯化钾1.5g。,否,国药准字H20244464,2024-07-16,广东九明制药有限公司,广东九明制药有限公司,新批准暂未销售,按化学药品新注册分类批准的仿制药,,,,https://www.cde.org.cn/hymlj/detailPage/17b030e65ffdb07d204eba2cbb695b0a,445063,131-48-6
ff25bf4a62aab554db33517bdb954a7b,碳酸氢钠,Sodium Bicarbonate,碳酸氢钠注射液,Sodium Bicarbonate Injection,CYHB2340012,注射剂,注射,10ml：0.84g,否,国药准字H20227054,2024-05-23,山东新华制药股份有限公司,山东新华制药股份有限公司,上市销售中,通过质量和疗效一致性评价的药品,,,,https://www.cde.org.cn/hymlj/detailPage/ff25bf4a62aab554db33517bdb954a7b,516892,144-55-8
cc29b4187deaf5b886cba74af9e2cee6,氟马西尼,Flumazenil ,氟马西尼注射液,Flumazenil Injection,CYHB2350320,注射剂,注射,10ml：1.0mg,否,国药准字H20183489,2024-05-23,海南美兰史克制药有限公司,海南灵康制药有限公司,上市销售中,通过质量和疗效一致性评价的药品,,,,https://www.cde.org.cn/hymlj/detailPage/cc29b4187deaf5b886cba74af9e2cee6,3373,78755-81-4
6b99dc22ec8f3a8dcd70ce95eadf2bfc,丁二磺酸腺苷蛋氨酸,Ademetionine 1，4-Butanedisulfonate ,注射用丁二磺酸腺苷蛋氨酸,Ademetionine 1，4-Butanedisulfonate for Injection,CYHB2250504,注射剂,注射,0.5g(按腺苷蛋氨酸计),否,国药准字H20203260,2024-05-28,北京双鹭药业股份有限公司,北京双鹭药业股份有限公司,上市销售中,通过质量和疗效一致性评价的药品,,,,https://www.cde.org.cn/hymlj/detailPage/6b99dc22ec8f3a8dcd70ce95eadf2bfc,71587625,200393-05-1
92f2d39bc20c6d2671f272a93b010af3,盐酸维拉帕米,Verapamil Hydrochloride,盐酸维拉帕米注射液,Verapamil Hydrochloride Injection,CYHS2300667,注射剂,注射,2ml:5mg,否,国药准字H20244201,2024-06-28,成都瑞尔医药科技有限公司,四川美大康佳乐药业有限公司,新批准暂未销售,按化学药品新注册分类批准的仿制药,C08DA01,,,https://www.cde.org.cn/hymlj/detailPage/92f2d39bc20c6d2671f272a93b010af3,62969,152-11-4
c7e0dc4c06f03e7d50625051e33d3c43,琥珀酸美托洛尔,Metoprolol Succinate,琥珀酸美托洛尔缓释胶囊,Metoprolol Succinate Sustained-release Capsules,CYHS2300510,胶囊剂,口服,23.75mg,否,国药准字H20244198,2024-06-28,烟台鲁银药业有限公司,烟台鲁银药业有限公司,新批准暂未销售,按化学药品新注册分类批准的仿制药,C07AB02,,,https://www.cde.org.cn/hymlj/detailPage/c7e0dc4c06f03e7d50625051e33d3c43,62937,98418-47-4
