idCode,hxcf,hxcfen,ypmc,ypmcen,slh,jx,gytj,gg,cbzj,pzwh,scpzrq,ssxkzcyr,sccs,ssxszt,sllb,jpxzl,smsContent,smsAttname,source_url
fbc01fac96fd70010b5d5002f544cc01,阿卡波糖,Acarbose,阿卡波糖片,Acarbose Tablets,,片剂,口服,50mg,是,国药准字H19990205,1999-09-03,,拜耳医药保健有限公司,上市销售中,其他药品,A10BF01,,,https://www.cde.org.cn/hymlj/detailPage/fbc01fac96fd70010b5d5002f544cc01
e8f550569c35f8dde63c8987a04b755a,阿卡波糖,Acarbose,阿卡波糖片,Acarbose Tablets,,片剂,口服,0.1g,是,国药准字H20010716,2001-11-05,,拜耳医药保健有限公司,上市销售中,其他药品,A10BF01,,,https://www.cde.org.cn/hymlj/detailPage/e8f550569c35f8dde63c8987a04b755a
4f4910cb91b57dfd2f89d52d7db0b0ed,头孢克洛,Cefaclor,头孢克洛干混悬剂,Cefaclor for Suspension,,口服混悬剂,口服,0.125g,是,国药准字H10983028,1998-07-06,,礼来苏州制药有限公司,上市销售中,其他药品,J01DC04,,,https://www.cde.org.cn/hymlj/detailPage/4f4910cb91b57dfd2f89d52d7db0b0ed
8ccaa89fa18ad332b5d7dbb09c75d5de,头孢克洛,Cefaclor,头孢克洛胶囊,Cefaclor Capsules,,胶囊剂,口服,0.25g,是,国药准字H10983030,1998-07-06,,礼来苏州制药有限公司,上市销售中,其他药品,J01DC04,,,https://www.cde.org.cn/hymlj/detailPage/8ccaa89fa18ad332b5d7dbb09c75d5de
2d75e34d9f40411975135b0749b29bed,盐酸度洛西汀,Duloxetine Hydrochloride,盐酸度洛西汀肠溶胶囊,Duloxetine Hydrochloride Enteric Capsules,,胶囊剂,口服,30mg,是,H20150284;H20150285,2006-07-28,Eli Lilly and Company,LILLY DEL CARIBE， INC.,上市销售中,进口原研药品,N06AX21,,,https://www.cde.org.cn/hymlj/detailPage/2d75e34d9f40411975135b0749b29bed
09b574f3bc1fdcaaf1b75fd699cbf864,盐酸度洛西汀,Duloxetine Hydrochloride,盐酸度洛西汀肠溶胶囊,Duloxetine Hydrochloride Enteric Capsules,,胶囊剂,口服,60mg,是,H20150286;H20150287,2006-07-28,Eli Lilly and Company,LILLY DEL CARIBE， INC.,上市销售中,进口原研药品,N06AX21,,,https://www.cde.org.cn/hymlj/detailPage/09b574f3bc1fdcaaf1b75fd699cbf864
a588bcb14452e6241c3dda117c6b0099,阿托伐他汀钙,Atorvastatin Calcium ,阿托伐他汀钙片,Atorvastatin Calcium Tablets,CYHS1700640,片剂,口服,按C33H35FN2O5计 20mg,否,国药准字H20193332,2019-11-18,,湖南迪诺制药股份有限公司,新批准暂未销售,按化学药品新注册分类批准的仿制药,C10AA05,,,https://www.cde.org.cn/hymlj/detailPage/a588bcb14452e6241c3dda117c6b0099
5234e8155c918a1e1914c22a76c5f20c,阿托伐他汀钙,Atorvastatin Calcium,阿托伐他汀钙片,Atorvastatin Calcium Tablets,CYHS1700639,片剂,口服,按C33H35FN2O5计 10mg,否,国药准字H20193331,2019-11-18,,湖南迪诺制药股份有限公司 ,新批准暂未销售,按化学药品新注册分类批准的仿制药,C10AA05,,,https://www.cde.org.cn/hymlj/detailPage/5234e8155c918a1e1914c22a76c5f20c
ba78743b7579b60e6816473e7bf3a920,苯磺贝他斯汀,Bepotastine Besilate ,苯磺贝他斯汀片,Bepotastine Besilate Tablets,CYHS1700626,片剂,口服,10mg,否,国药准字H20193370,2019-12-16,,重庆华邦制药有限公司,新批准暂未销售,按化学药品新注册分类批准的仿制药,无,,,https://www.cde.org.cn/hymlj/detailPage/ba78743b7579b60e6816473e7bf3a920
f8da9f73c7dd240ab2d8f8a735dec618,安立生坦,Ambrisentan,安立生坦片,Ambrisentan Tablets,CYHS1700560,片剂,口服,5mg,否,国药准字H20193415,2019-12-26,浙江华海药业股份有限公司,浙江华海药业股份有限公司,新批准暂未销售,按化学药品新注册分类批准的仿制药,C02KX02,,,https://www.cde.org.cn/hymlj/detailPage/f8da9f73c7dd240ab2d8f8a735dec618
ef72a419508028c5685cdbcea096798c,头孢拉定,Cefradine ,头孢拉定胶囊,Cefradine Capsules,CYHB1950073,胶囊剂,口服,0.25g,否,国药准字H20003027,2019-12-18,山东鲁抗医药股份有限公司,山东鲁抗医药股份有限公司,上市销售中,通过质量和疗效一致性评价的药品,J01DB09 ,916b44ce8064ba403e86aace8a34ddee,国药准字H20003027_头孢拉定胶囊.pdf,https://www.cde.org.cn/hymlj/detailPage/ef72a419508028c5685cdbcea096798c
ce4dc6b5c91f5ba1234e2d141b86f55c,厄贝沙坦,Irbesartan,厄贝沙坦片,Irbesartan Tablets,CYHB1850064,片剂,口服,0.075g,否,国药准字H20100164,2019-12-17,扬子江药业集团北京海燕药业有限公司,扬子江药业集团江苏紫龙药业有限公司,上市销售中,通过质量和疗效一致性评价的药品,C09CA04,0c0b453c749df9a0b1dd49deeb5eef14,国药准字H20100164_厄贝沙坦片.pdf,https://www.cde.org.cn/hymlj/detailPage/ce4dc6b5c91f5ba1234e2d141b86f55c
07ae94f14da9d75cdaffda55ed890747,氢溴酸右美沙芬,Dextromethorphan Hydrobromide ,氢溴酸右美沙芬片,Dextromethorphan Hydrobromide Tablets,CYHB1850424,片剂,口服,15mg,否,国药准字H44025297,2019-12-27,广东华南药业集团有限公司,广东华南药业集团有限公司,上市销售中,通过质量和疗效一致性评价的药品,R05DA09 ,76bf87018d435e031e86c84d10aa800d,国药准字H44025297_氢溴酸右美沙芬片.pdf,https://www.cde.org.cn/hymlj/detailPage/07ae94f14da9d75cdaffda55ed890747
89e99664674a07c8e57bb27f887e6c45,盐酸普拉克索,Pramipexole Dihydrochloride,盐酸普拉克索片,Pramipexole Dihydrochloride Tablets,CYHS1700224,片剂,口服,0.25mg,否,国药准字H20193412,2019-12-26,,石药集团欧意药业有限公司,新批准暂未销售,按化学药品新注册分类批准的仿制药,N04BC05,,,https://www.cde.org.cn/hymlj/detailPage/89e99664674a07c8e57bb27f887e6c45
28ae629a2f32853d4d04687412e1fe22,盐酸普拉克索,Pramipexole Dihydrochloride,盐酸普拉克索片,Pramipexole Dihydrochloride Tablets,CYHS1700225,片剂,口服,1.0mg,否,国药准字H20193413,2019-12-26,,石药集团欧意药业有限公司 ,新批准暂未销售,按化学药品新注册分类批准的仿制药,N04BC05,,,https://www.cde.org.cn/hymlj/detailPage/28ae629a2f32853d4d04687412e1fe22
589f23cd80b1b78034a393589340be35,盐酸二甲双胍,Metformin Hydrochloride ,盐酸二甲双胍片,Metformin Hydrochloride Tablets,CYHB1850455,片剂,口服,0.25g,否,国药准字H22023147,2019-12-26,,吉林金恒制药股份有限公司,新批准暂未销售,通过质量和疗效一致性评价的药品,A10BA02 ,70e5b5badaa932d3b0da58f118953120,国药准字H22023147_盐酸二甲双胍片.pdf,https://www.cde.org.cn/hymlj/detailPage/589f23cd80b1b78034a393589340be35
8640bfb83dc681bbc6c34fb1c506349a,苯磺酸氨氯地平,Amlodipine Besylate,苯磺酸氨氯地平片,Amlodipine Besylate Tablets,CYHB1850425,片剂,口服,5mg（按C20H25CIN2O5计）,否,国药准字H20083949,2020-01-02,,江西制药有限责任公司 ,新批准暂未销售,通过质量和疗效一致性评价的药品,C08CA01 ,3a94c7fd3c49daa494cf19ad9bb2fc15,国药准字H20083949_苯磺酸氨氯地平片.pdf,https://www.cde.org.cn/hymlj/detailPage/8640bfb83dc681bbc6c34fb1c506349a
00d52a40504bb68208b623b217264747,诺氟沙星,Norfloxacin ,诺氟沙星胶囊,Norfloxacin Capsules,CYHB1850394,胶囊剂,口服,0.1g,否,国药准字H20153262,2019-12-27,烟台万润药业有限公司,烟台万润药业有限公司,新批准暂未销售,通过质量和疗效一致性评价的药品,J01MA06 ,3792607e5936f212b97d5c909ece48ab,国药准字H20153262_诺氟沙星胶囊.pdf,https://www.cde.org.cn/hymlj/detailPage/00d52a40504bb68208b623b217264747
7d57de542e83028ea8a2f925972e5da4,蒙脱石,Montmorillonite,蒙脱石散,Montmorillonite Powder,CYHB1850324,散剂,口服,每袋含蒙脱石3g ,否,国药准字H20093355,2019-12-13,,北京金城泰尔制药有限公司,新批准暂未销售,通过质量和疗效一致性评价的药品,A07BC05 ,786fd25e0b01ab5f0249ecabb84f4892,国药准字H20093355_蒙脱石散.pdf,https://www.cde.org.cn/hymlj/detailPage/7d57de542e83028ea8a2f925972e5da4
